id,fecha,cantidad,fecha_ingesta,fuente
ce16ee95cc8ac68b,2026-03-19,5,2026-03-20T13:33:23.677855,telegram
4aaf78f24aac2b59,2026-03-20,4,2026-03-20T18:00:46.567829,telegram
7fba7b9e7bbe21b7,2026-03-21,2,2026-03-21T15:35:15.690723,telegram
9b73aa4b6cc72c98,2026-03-21,3,2026-03-21T18:50:37.263276,telegram
603b38735abf5847,2026-03-22,2,2026-03-22T09:40:07.525435,telegram
9c5a6c8a85782258,2026-03-23,6,2026-03-23T19:50:46.827780,telegram
8f8450a546439440,2026-03-24,7,2026-03-24T18:40:41.806065,telegram
2119c9148fb78ce6,2026-03-25,7,2026-03-25T18:30:14.923776,telegram
013aa1a58b439d04,2026-03-27,5,2026-03-27T15:07:20.311194,telegram
724bec27334b1b71,2026-03-29,8,2026-03-29T17:06:50.909525,telegram
